momentum_days,final_net_value,small_net_value,excess_return,annual_return,small_annual_return,max_drawdown,trade_count,sharpe_ratio,profit_factor
1,1.2496796653543767,0.9435331790768037,30.6146486277573,9.738853392788794,-2.3943511332351397,-15.757140567395533,374,0.5350966214990766,1.1955601804722142
2,1.067108699949028,0.9431642435975747,12.394445635145335,2.7484078443852367,-2.4129871154983995,-18.932447011516533,255,0.06561191476662516,1.0721390301255302
3,1.0265452808287958,0.938916254787464,8.762902604133183,1.1034298070525583,-2.605516776205541,-22.25672673173143,213,-0.05037748633581533,1.0377504934526633
4,1.0017355498314935,0.9376312848932942,6.410426493819932,0.07274287658289857,-2.664384299764322,-20.991863185234134,187,-0.12528528265218775,1.0202406897136098
5,0.9060131159518686,0.9429538955296557,-3.6940779577787075,-4.059080988481467,-2.4358217513831604,-26.256285053127677,149,-0.4201690459991387,0.9468764215860632
6,0.8608692310168812,0.9427766631454715,-8.190743212859031,-6.102635474979379,-2.4462980101165877,-27.983864954022504,145,-0.5565162175319779,0.9131956248109827
7,0.9117091725200427,0.9361773403334491,-2.446816781340644,-3.814912433311035,-2.7370037388672497,-25.350868853724872,148,-0.40802420811006923,0.9496789474727647
8,0.8989648285327357,0.925711437142236,-2.674660860950029,-4.397850985996965,-3.206946817187606,-21.76010777525187,122,-0.45602259788155897,0.9368379595905414
9,0.9588103889016512,0.9247360243324932,3.407436456915791,-1.762423741581598,-3.2537253285218504,-17.37231575614464,129,-0.2607193760482322,0.9856964543713052
10,0.8154650881989369,0.9219073625125838,-10.644227431364683,-8.271595785955066,-3.3827891223844553,-23.078528699546517,117,-0.723557540627509,0.8685419028582168
11,0.7766585852610429,0.9140512939834029,-13.739270872235998,-10.15624597564635,-3.7363561647373533,-24.220842561789972,114,-0.8729583895094953,0.8319671173638313
12,0.8220528756675939,0.9071634719568409,-8.5110596289247,-7.976422847789144,-4.048993658307398,-21.738382314569257,104,-0.7065897389492564,0.8729619493248496
13,0.8031409037904779,0.902558806741753,-9.941790295127518,-8.98006365441586,-4.304823834525628,-21.813488234204566,100,-0.7694656504655011,0.854318830206779
14,0.8342011547107476,0.9017231740378271,-6.752201932707946,-7.4940656818022315,-4.347857293808621,-21.2793334135213,106,-0.67367923768487,0.878528790975475
15,0.8570550445139036,0.890850901940087,-3.3795857426183407,-6.420753367038801,-4.850717374101288,-19.86064997902,97,-0.5964183110829516,0.8990960755126856
16,0.9088421420451888,0.8902585062048312,1.8583635840357604,-4.033385198624262,-4.883552451462625,-20.14221020538122,87,-0.3850479390426816,0.9467946154085957
17,0.9922280827339364,0.8939711408482207,9.825694188571566,-0.33589050272260224,-4.718335234529847,-17.29193933942183,84,-0.15958529918605202,1.0128485379927674
18,0.906896140883176,0.8998367097248354,0.7059431158340623,-4.141069590167112,-4.464703614871834,-22.5377837135245,83,-0.3756721608445942,0.9466797841347621
19,1.0159218396288474,0.897713932784261,11.820790684458638,0.6867651889868043,-4.5675885711731645,-16.03719323227134,79,-0.06540749559702108,1.0365037576754403
20,1.045707220525532,0.9047260188403641,14.098120168516793,1.957665511927531,-4.250259593877736,-15.04319681160258,76,0.019974934525163295,1.0610824490597073
21,1.0296907765710468,0.8924410997957059,13.724967677534094,1.2788191170028274,-4.822019273863076,-14.123931061436748,67,-0.026856931738511086,1.0493387877527627
22,0.946756731972828,0.8953026024225117,5.145412955031626,-2.3509667633506037,-4.695049481955838,-16.709033578753765,73,-0.2736683332235784,0.9757595908652896
23,0.9405140825767285,0.8883498096808029,5.216427289592563,-2.6407650102481695,-5.035104307553362,-17.418229164169087,67,-0.30115491512434756,0.9683949884503508
24,0.920828497717323,0.8864908643208561,3.4337633396466893,-3.53947353404932,-5.127840552354945,-16.873196855867285,78,-0.3621032526101905,0.9507465803194449
25,0.9035894525639201,0.8882774543035162,1.5311998260403858,-4.337731592456528,-5.0502379235479955,-20.826322986931743,65,-0.4170453397770879,0.9351837944900534
26,0.8460983357407725,0.9016760626230605,-5.557772688228802,-7.057578491352878,-4.431581258438422,-19.034405410673887,87,-0.6629769283833273,0.8773120389328932
27,0.8279308268954878,0.9092037517587641,-8.127292486327631,-7.946053844929235,-4.08777589792958,-23.554148738049392,81,-0.7157758831064631,0.863656128516829
28,0.8720419977293261,0.8936356305553496,-2.1593632826023446,-5.847279251328629,-4.828334945605439,-20.27877097343577,82,-0.576285726109024,0.8987377054146612
29,0.8189532537660882,0.888405907123712,-6.945265335762385,-8.42377447366507,-5.079797052062551,-20.141259969485432,68,-0.7550577371396664,0.8506889327650119
30,0.8375422042422281,0.8895704240600775,-5.202821981784933,-7.522417039979457,-5.030911992752285,-16.4510664411684,68,-0.678507302332044,0.8700545934925364
31,0.9048050490204921,0.8916331445074102,1.3171904513081922,-4.321967449198427,-4.939650051455969,-15.57177745416087,63,-0.4476957425107648,0.9328584098282956
32,1.0567890181028792,0.8943719080907768,16.241711001210234,2.472519276316909,-4.816482866622884,-14.59743363632062,54,0.04444552538952234,1.0709370574489612
33,1.0456750412984197,0.8991418022088608,14.653323908955896,2.001917373722728,-4.6086918740296685,-15.272969190855004,65,0.007621072602766029,1.0627493972468989
34,0.9396096479622668,0.892023735865434,4.758591209683272,-2.729892741069595,-4.950441881603562,-14.347206982845092,65,-0.34875035923421294,0.9617697496829739
35,1.0372603831554426,0.8858087023417838,15.145168081365878,1.64083601042746,-5.251494621042174,-12.485403574687219,60,-0.02131169915453181,1.055713257529588
36,1.0813076868939837,0.8885719168913973,19.273577000258648,3.5432815491300174,-5.126199068140447,-11.500114281460467,63,0.12128658538635129,1.0976109606406177
37,1.0428462653918462,0.887447630342385,15.539863504946116,1.8886283031205764,-5.185844969666542,-13.206748816472274,57,-0.002970068436090988,1.0615905659327158
38,0.9332547631514273,0.8867674760353401,4.648728711608719,-3.044647985993265,-5.236932695020446,-16.166094418404324,45,-0.3926385826469483,0.9511012018249503
39,0.8679183471251029,0.9024192930615995,-3.4500945936496663,-6.151200799241696,-4.497258696752981,-21.302168914133112,47,-0.5338887772923897,0.8973675828585465
40,0.967047372742213,0.8999536889196356,6.7093683822577415,-1.4922819769141005,-4.619822725400624,-22.647081792680517,55,-0.21961101831175628,0.9924851533031933
41,0.8302530587299514,0.9021819144947031,-7.192885576475172,-8.017683829621426,-4.519354625857741,-24.538051818584787,42,-0.6480528653745774,0.8645126274531659
42,0.9593088127714555,0.9139669141103974,4.534189866105809,-1.8512827055632508,-3.9657982596493446,-22.953265333614333,50,-0.24591727178381018,0.9848071143487933
43,1.0454125283607933,0.908097624742496,13.731490361829735,2.0253456735778386,-4.2590923630503985,-23.858341359444037,42,0.03405640939967598,1.0688067262027081
44,1.0188354245884317,0.9162560410368901,10.257938355154161,0.8470887799582716,-3.8764020295512625,-25.46979111068941,43,-0.03808975512824519,1.044887018142367
45,0.9452841008220507,0.9110683188104051,3.4215782011645657,-2.5146250046324536,-4.127805717419076,-21.414994370685633,40,-0.2605949953867563,0.9748891218552497
46,0.965881470245366,0.9235023164696079,4.237915377575807,-1.560810792922096,-3.5421119478841634,-20.215822785775316,41,-0.1988148501616,0.9945803593709719
47,1.0353002272834844,0.9171766560475967,11.812357123588768,1.5864974933836873,-3.846760661800863,-17.213154455171985,35,0.0012886061612156585,1.0596882747288188
48,0.9975065008508202,0.9205757019714176,7.693079887940257,-0.1136371213729781,-3.6987688321106105,-18.36788790226541,32,-0.10632610251622955,1.0239982618210424
49,0.9997320500245812,0.9096012845440181,9.01307654805631,-0.012219208802866088,-4.228476987685581,-19.954219241167507,43,-0.10176507920362943,1.026383730332776
50,0.9157448743985094,0.9045149794447563,1.122989495375304,-3.9388749819756264,-4.478513562161124,-19.730299819393007,45,-0.3939082066465373,0.9409558993674835
51,0.7581194224670946,0.8993481593054983,-14.122873683840364,-11.890246036146412,-4.7337966395634705,-27.079470628476827,39,-0.9361220182184752,0.7829708648989439
52,0.7660335253062972,0.8987296853191453,-13.269616001284811,-11.484480174872713,-4.769575720448216,-25.190775647964575,43,-0.8956725087299451,0.7934356075639122
53,0.7452758107344665,0.8985158247834408,-15.324001404897436,-12.634874486045033,-4.797546224762694,-27.378944362923217,48,-0.9870410634731245,0.7654492349769995
54,0.7622870732284152,0.9030482497894838,-14.076117656106868,-11.738145015276425,-4.582840975342995,-26.68318177534746,52,-0.9183431792075009,0.784555168688528
55,0.7902644224587305,0.9058423611595847,-11.557793870085419,-10.274739231938202,-4.452626375679369,-28.288175429083157,58,-0.7961932763596834,0.8147724373049144
56,0.8291431248031265,0.902149594157963,-7.300646935483657,-8.277892887439709,-4.637940257061002,-24.65375782687501,55,-0.6882596834133393,0.8503149633772497
57,0.7813774689866977,0.8945165352767287,-11.313906629003101,-10.76653969107012,-5.017066306240259,-26.74193386833486,59,-0.8588014544451669,0.7990626101980043
58,0.7067705520890922,0.8841974875048085,-17.74269354157163,-14.85909453717702,-5.545038424132443,-30.6036469197068,64,-1.1497147886162318,0.7179524205089725
59,0.8020503946598372,0.8848746010898532,-8.282420643001597,-9.730801318286597,-5.518324135405372,-23.36537352452832,50,-0.8030980909011859,0.8136975698837522
